Char,Sentiment_score,Unicode_name
🙇,0.140,PERSON_BOWING_DEEPLY
🍟,0.302,FRENCH_FRIES
🍌,0.435,BANANA
💑,0.659,COUPLE_WITH_HEART
👬,-0.059,TWO_MEN_HOLDING_HANDS
🐣,0.476,HATCHING_CHICK
🎃,0.595,JACK-O-LANTERN
▬,0.464,BLACK_RECTANGLE
￼,-0.476,OBJECT_REPLACEMENT_CHARACTER
😟,0.072,WORRIED_FACE
🐾,0.605,PAW_PRINTS
🎓,0.563,GRADUATION_CAP
🏊,0.575,SWIMMER
🍫,0.152,CHOCOLATE_BAR
📷,0.430,CAMERA
👄,0.474,MOUTH
🌼,0.779,BLOSSOM
🚶,-0.143,PEDESTRIAN
🐱,0.513,CAT_FACE
║,0.145,BOX_DRAWINGS_DOUBLE_VERTICAL
🐸,-0.080,FROG_FACE
🇺,0.541,REGIONAL_INDICATOR_SYMBOL_LETTER_U
👿,-0.534,IMP
🚬,0.521,SMOKING_SYMBOL
✿,0.384,BLACK_FLORETTE
📖,0.169,OPEN_BOOK
🐒,0.521,MONKEY
🌍,0.592,EARTH_GLOBE_EUROPE-AFRICA
┊,0.958,BOX_DRAWINGS_LIGHT_QUADRUPLE_DASH_VERTICAL
🐥,0.586,FRONT-FACING_BABY_CHICK
🌀,0.101,CYCLONE
🐼,0.261,PANDA_FACE
🎥,0.290,MOVIE_CAMERA
💄,0.435,LIPSTICK
💸,0.159,MONEY_WITH_WINGS
⛔,0.485,NO_ENTRY
●,0.176,BLACK_CIRCLE
🏀,0.254,BASKETBALL_AND_HOOP
💉,0.358,SYRINGE
💟,0.682,HEART_DECORATION
🚗,0.231,AUTOMOBILE
😯,0.123,HUSHED_FACE
📝,0.231,MEMO
═,0.015,BOX_DRAWINGS_DOUBLE_HORIZONTAL
♦,0.453,BLACK_DIAMOND_SUIT
💭,0.206,THOUGHT_BALLOON
🌙,0.590,CRESCENT_MOON
🐟,0.689,FISH
👣,0.344,FOOTPRINTS
☞,0.115,WHITE_RIGHT_POINTING_INDEX
✂,-0.459,BLACK_SCISSORS
🗿,0.443,MOYAI
🍝,0.117,SPAGHETTI
👪,-0.017,FAMILY
🍭,0.300,LOLLIPOP
🌃,0.390,NIGHT_WITH_STARS
❌,0.271,CROSS_MARK
🐰,0.586,RABBIT_FACE
💊,0.431,PILL
🚨,0.638,POLICE_CARS_REVOLVING_LIGHT
😦,-0.368,FROWNING_FACE_WITH_OPEN_MOUTH
🍪,0.316,COOKIE
🍣,-0.232,SUSHI
╭,0.161,BOX_DRAWINGS_LIGHT_ARC_DOWN_AND_RIGHT
✧,0.321,WHITE_FOUR_POINTED_STAR
🎆,0.709,FIREWORKS
╮,0.127,BOX_DRAWINGS_LIGHT_ARC_DOWN_AND_LEFT
🎎,0.907,JAPANESE_DOLLS
🇩,0.611,REGIONAL_INDICATOR_SYMBOL_LETTER_D
✅,0.407,WHITE_HEAVY_CHECK_MARK
👹,0.058,JAPANESE_OGRE
📱,0.308,MOBILE_PHONE
🙍,-0.327,PERSON_FROWNING
🍑,0.250,PEACH
🎼,0.327,MUSICAL_SCORE
🔊,0.404,SPEAKER_WITH_THREE_SOUND_WAVES
🌌,0.520,MILKY_WAY
🍎,0.320,RED_APPLE
🐻,0.440,BEAR_FACE
─,0.140,BOX_DRAWINGS_LIGHT_HORIZONTAL
╰,-0.060,BOX_DRAWINGS_LIGHT_ARC_UP_AND_RIGHT
💇,0.327,HAIRCUT
♬,0.245,BEAMED_SIXTEENTH_NOTES
♚,0.041,BLACK_CHESS_KING
🔴,0.396,LARGE_RED_CIRCLE
🍱,-0.313,BENTO_BOX
🍊,0.417,TANGERINE
🍒,0.313,CHERRIES
🐭,0.688,MOUSE_FACE
👟,0.417,ATHLETIC_SHOE
🌎,0.319,EARTH_GLOBE_AMERICAS
🍍,0.468,PINEAPPLE
🐮,0.587,COW_FACE
📲,0.239,MOBILE_PHONE_WITH_RIGHTWARDS_ARROW_AT_LEFT
☼,0.196,WHITE_SUN_WITH_RAYS
🌅,0.356,SUNRISE
🇷,0.667,REGIONAL_INDICATOR_SYMBOL_LETTER_R
👠,0.356,HIGH-HEELED_SHOE
🌽,0.444,EAR_OF_MAIZE
💧,-0.159,DROPLET
❓,0.068,BLACK_QUESTION_MARK_ORNAMENT
🍬,0.364,CANDY
😺,0.395,SMILING_CAT_FACE_WITH_OPEN_MOUTH
🐴,0.070,HORSE_FACE
🚀,0.488,ROCKET
¦,0.581,BROKEN_BAR
